year,college,branch,category,round,closing_rank,website
2023,AIT Chikmagalur,EEE,2B,3,116976,https://aitchikmagalur.edu.in/
2023,Acharya Institute of Technology,CSE,ST,3,64910,https://acharya.ac.in/
2022,Sapthagiri College of Engineering,MECH,SC,2,97110,https://sapthagiri.edu.in/
2021,RNSIT,ECE,ST,2,44564,https://rnsit.ac.in/
2023,BMSIT Bangalore,MECH,SC,3,44696,https://bmsit.ac.in/
2022,MVJ College of Engineering,EEE,SC,3,80272,https://mvjce.edu.in/
2021,JSS Science & Technology,MECH,1,1,126001,https://jssstuniv.in/
2021,KSSEM Bangalore,CSE,1,1,65381,https://kssem.edu.in/
2023,Adichunchanagiri Institute,CSE,2A,1,82227,https://acoe.edu.in/
2023,MVJ College of Engineering,ISE,3B,3,58638,https://mvjce.edu.in/
2022,Vidya Vikas Institute,CSE,3B,1,77496,https://vvit.ac.in/
2023,BNMIT,CSE,1,3,33560,https://bnmit.org/
2021,CMR University School of Engineering,MECH,1,3,103011,https://cmr.edu.in/
2021,RNSIT,ISE,2B,3,33269,https://rnsit.ac.in/
2024,BMSIT Bangalore,ISE,3A,2,28290,https://bmsit.ac.in/
2021,CMRIT,EEE,1,2,51933,https://cmrit.ac.in/
2024,MSRIT,ECE,3B,1,9037,https://www.msrit.edu/
2021,UVCE,EEE,2B,3,14975,https://uvce.ac.in/
2022,MS Engineering College,MECH,SC,1,150592,https://msengineering.edu.in/
2021,PESIT RR,ISE,SC,2,45445,https://pes.edu/
2022,PESIT RR,EEE,1,1,32585,https://pes.edu/
2023,Global Academy of Technology,ISE,1,3,74070,https://gat.ac.in/
2021,CMRIT,MECH,ST,2,79961,https://cmrit.ac.in/
2022,Bangalore Institute of Technology North Campus,MECH,2B,2,135372,https://bit.edu.in/
2022,Vemana Institute of Technology,MECH,GM,2,96107,https://vemanait.edu.in/
2023,Vidya Vikas Institute,MECH,ST,2,127028,https://vvit.ac.in/
2022,Oxford College of Engineering,ISE,3B,1,66643,https://oxford.edu.in/
2023,AIT Chikmagalur,EEE,2A,1,99083,https://aitchikmagalur.edu.in/
2021,MIT Manipal,EEE,2B,3,12056,https://manipal.edu/
2021,East Point College of Engineering,EEE,1,1,65841,https://epce.edu.in/
2023,Canara Engineering College,EEE,ST,1,108455,https://canaraengineering.in/
2024,Sri Venkateshwara College of Engineering,ISE,ST,3,128092,https://svce.edu.in/
2024,Presidency University,ISE,2A,2,80843,https://presidencyuniversity.in/
2021,PESIT South,CSE,2A,3,45476,https://pes.edu/
2024,Canara Engineering College,MECH,ST,3,117945,https://canaraengineering.in/
2024,Sri Venkateshwara College of Engineering,ECE,SC,3,127372,https://svce.edu.in/
2021,Oxford College of Engineering,CSE,GM,3,57388,https://oxford.edu.in/
2021,Don Bosco Institute of Technology,MECH,ST,1,162387,https://dbit.ac.in/
2022,Dayananda Sagar Academy,EEE,SC,2,158154,https://dsacademy.edu.in/
2023,RNSIT,MECH,1,3,34360,https://rnsit.ac.in/
2021,KSIT,CSE,1,2,51320,https://ksit.edu.in/
2024,MVJ College of Engineering,CSE,1,3,49820,https://mvjce.edu.in/
2022,AMC Engineering College,EEE,2B,1,121370,https://amc.edu.in/
2023,NIE Mysore,ISE,SC,1,23646,https://nie.ac.in/
2021,Oxford College of Engineering,ECE,2B,2,68102,https://oxford.edu.in/
2024,BIT Bangalore,ISE,3B,2,24336,https://bit-bangalore.edu.in/
2023,Vidya Jyothi Institute,CSE,2A,3,100969,https://vji.ac.in/
2023,BMSCE,MECH,3A,3,6983,https://www.bmsce.ac.in/
2024,Presidency University,MECH,SC,1,117204,https://presidencyuniversity.in/
2023,Sri Venkateshwara College of Engineering,ISE,3B,1,91987,https://svce.edu.in/
2021,PESIT RR,EEE,1,1,33243,https://pes.edu/
2023,Vidyavardhaka College,ISE,GM,1,60671,https://vvc.ac.in/
2021,RNSIT,MECH,SC,1,45869,https://rnsit.ac.in/
2022,New Horizon College of Engineering,MECH,3A,1,49149,https://newhorizon.edu.in/
2022,MS Engineering College,CSE,3A,1,102678,https://msengineering.edu.in/
2021,East Point College of Engineering,ISE,2B,2,67047,https://epce.edu.in/
2022,CMRIT,CSE,3A,1,47772,https://cmrit.ac.in/
2023,Sapthagiri College of Engineering,ECE,SC,1,82821,https://sapthagiri.edu.in/
2021,UVCE,MECH,ST,2,20490,https://uvce.ac.in/
2023,Presidency University,EEE,3B,2,104657,https://presidencyuniversity.in/
2021,Global Academy of Technology,ECE,ST,1,104969,https://gat.ac.in/
2023,Sri Venkateshwara College of Engineering,ECE,ST,2,134166,https://svce.edu.in/
2022,UVCE,MECH,1,2,13535,https://uvce.ac.in/
2024,KSIT,ECE,2A,1,58248,https://ksit.edu.in/
2024,RVCE,EEE,ST,3,985,https://www.rvce.edu.in
2021,AIT Chikmagalur,EEE,GM,3,104009,https://aitchikmagalur.edu.in/
2023,Oxford College of Engineering,MECH,GM,1,61206,https://oxford.edu.in/
2022,Vidyavardhaka College,ISE,2A,2,70154,https://vvc.ac.in/
2021,Dayananda Sagar Academy,EEE,3A,1,120891,https://dsacademy.edu.in/
2021,KLE Tech Hubli,ECE,1,2,55210,https://kletech.ac.in/
2024,Sapthagiri College of Engineering,EEE,GM,2,65201,https://sapthagiri.edu.in/
2024,KSSEM Bangalore,ECE,3A,3,96181,https://kssem.edu.in/
2024,MVJ College of Engineering,ISE,3A,2,54975,https://mvjce.edu.in/
2023,Vemana Institute of Technology,ECE,3A,3,110843,https://vemanait.edu.in/
2023,MIT Manipal,EEE,SC,2,15912,https://manipal.edu/
2022,Sir MVIT,MECH,3B,1,47140,https://sir-mvit.ac.in/
2024,BIT Bangalore,MECH,GM,3,24663,https://bit-bangalore.edu.in/
2024,Bangalore Institute of Technology North Campus,MECH,2A,3,143158,https://bit.edu.in/
2022,RVCE,MECH,3B,2,819,https://www.rvce.edu.in
2023,East Point College of Engineering,ECE,3B,1,75154,https://epce.edu.in/
2023,RVCE,MECH,2A,2,684,https://www.rvce.edu.in
2021,RVCE,ISE,2B,3,650,https://www.rvce.edu.in
2024,Sri Siddhartha Institute,ECE,SC,3,135937,https://ssit.edu.in/
2024,CMR University School of Engineering,MECH,SC,1,125573,https://cmr.edu.in/
2024,Vemana Institute of Technology,ECE,GM,1,82690,https://vemanait.edu.in/
2022,RVCE,EEE,GM,2,618,https://www.rvce.edu.in
2021,Adichunchanagiri Institute,MECH,2B,3,114561,https://acoe.edu.in/
2024,DSCE,CSE,3B,2,26248,https://www.dsce.edu.in/
2023,Reva University,EEE,1,3,60111,https://reva.edu.in/
2024,Dayananda Sagar Academy,EEE,2A,3,128957,https://dsacademy.edu.in/
2022,UVCE,CSE,ST,3,18896,https://uvce.ac.in/
2021,AMC Engineering College,ISE,1,3,115528,https://amc.edu.in/
2021,Acharya Institute of Technology,ECE,2A,1,48354,https://acharya.ac.in/
2023,RNSIT,ISE,1,2,27572,https://rnsit.ac.in/
2023,BIT Bangalore,CSE,2B,1,21529,https://bit-bangalore.edu.in/
2023,CMRIT,EEE,2A,1,50356,https://cmrit.ac.in/
2021,SJCE Mysore,CSE,ST,2,20200,https://sjce.ac.in/
2024,Sri Venkateshwara College of Engineering,EEE,GM,1,77239,https://svce.edu.in/
2024,KSSEM Bangalore,CSE,2A,3,78941,https://kssem.edu.in/
2023,AMC Engineering College,ISE,3A,3,124570,https://amc.edu.in/
2021,RVCE,ISE,2B,2,634,https://www.rvce.edu.in
2022,Vidya Vikas Institute,EEE,ST,3,116451,https://vvit.ac.in/
2022,Vemana Institute of Technology,MECH,3A,2,114469,https://vemanait.edu.in/
2024,RVCE,ISE,SC,1,783,https://www.rvce.edu.in
2023,Vidyavardhaka College,ECE,1,3,75643,https://vvc.ac.in/
2022,Reva University,ECE,ST,1,77109,https://reva.edu.in/
2021,Alliance University,CSE,3B,3,94204,https://alliance.edu.in/
2023,MVJ College of Engineering,ECE,3A,2,56327,https://mvjce.edu.in/
2021,Reva University,EEE,1,1,51526,https://reva.edu.in/
2022,DSCE,CSE,ST,1,31455,https://www.dsce.edu.in/
2023,RNSIT,MECH,SC,1,43000,https://rnsit.ac.in/
2024,Don Bosco Institute of Technology,EEE,2A,3,117035,https://dbit.ac.in/
2023,KSIT,EEE,2B,3,71847,https://ksit.edu.in/
2022,BMSIT Bangalore,MECH,ST,1,43785,https://bmsit.ac.in/
2024,Global Academy of Technology,CSE,ST,2,101626,https://gat.ac.in/
2021,Vidyavardhaka College,CSE,ST,3,102100,https://vvc.ac.in/
2022,SJCE Mysore,EEE,2A,1,16564,https://sjce.ac.in/
2024,Vidyavardhaka College,ECE,ST,3,112165,https://vvc.ac.in/
2021,Sapthagiri College of Engineering,EEE,SC,1,93479,https://sapthagiri.edu.in/
2022,BMSCE,ECE,2B,3,6202,https://www.bmsce.ac.in/
2023,RNSIT,ECE,ST,3,49124,https://rnsit.ac.in/
2022,Don Bosco Institute of Technology,ISE,GM,3,98702,https://dbit.ac.in/
2023,DSCE,MECH,ST,3,41568,https://www.dsce.edu.in/
2021,Vidyavardhaka College,MECH,GM,3,75515,https://vvc.ac.in/
2024,Global Academy of Technology,ECE,2B,3,84477,https://gat.ac.in/
2024,Presidency University,ECE,ST,2,125775,https://presidencyuniversity.in/
2022,Acharya Institute of Technology,ECE,1,3,49049,https://acharya.ac.in/
2023,PES University,ECE,3B,3,3876,https://pes.edu/
2022,MVJ College of Engineering,EEE,3A,2,60366,https://mvjce.edu.in/
2023,KSSEM Bangalore,ISE,1,3,79867,https://kssem.edu.in/
2021,RVCE,MECH,2A,2,678,https://www.rvce.edu.in
2022,DSCE,EEE,GM,1,23761,https://www.dsce.edu.in/
2022,PESIT RR,MECH,3B,3,41696,https://pes.edu/
2022,MVJ College of Engineering,MECH,SC,3,85907,https://mvjce.edu.in/
2022,Canara Engineering College,ECE,GM,2,65872,https://canaraengineering.in/
2022,Sir MVIT,ISE,1,2,39251,https://sir-mvit.ac.in/
2023,New Horizon College of Engineering,ECE,SC,1,57015,https://newhorizon.edu.in/
2022,Dayananda Sagar Academy,ECE,2B,2,113018,https://dsacademy.edu.in/
2022,Sri Siddhartha Institute,MECH,3A,1,107085,https://ssit.edu.in/
2022,Bangalore Institute of Technology North Campus,ECE,1,3,122656,https://bit.edu.in/
2021,Sri Venkateshwara College of Engineering,CSE,SC,3,119410,https://svce.edu.in/
2021,PESIT South,MECH,2B,1,50061,https://pes.edu/
2023,KLE Tech Hubli,EEE,GM,1,51777,https://kletech.ac.in/
2021,Vidya Vikas Institute,MECH,3A,3,91662,https://vvit.ac.in/
2023,MSRIT,CSE,SC,3,11129,https://www.msrit.edu/
2022,JSSATE Bangalore,ECE,GM,2,34321,https://jssateb.ac.in/
2023,Acharya Institute of Technology,ECE,2B,1,50835,https://acharya.ac.in/
2024,Don Bosco Institute of Technology,CSE,2A,3,107777,https://dbit.ac.in/
2023,JSS Science & Technology,EEE,1,3,124838,https://jssstuniv.in/
2021,DSCE,CSE,3B,1,24926,https://www.dsce.edu.in/
2022,Sir MVIT,CSE,ST,1,50029,https://sir-mvit.ac.in/
2021,JSS Science & Technology,ISE,GM,1,106034,https://jssstuniv.in/
2022,AMC Engineering College,ISE,3A,3,125779,https://amc.edu.in/
2023,East Point College of Engineering,CSE,2B,1,62642,https://epce.edu.in/
2024,BIT Bangalore,MECH,3A,1,25438,https://bit-bangalore.edu.in/
2022,CMRIT,ECE,ST,1,73552,https://cmrit.ac.in/
2021,Reva University,ECE,SC,2,76034,https://reva.edu.in/
2023,PESIT South,CSE,SC,3,58874,https://pes.edu/
2022,UVCE,ECE,3B,2,15358,https://uvce.ac.in/
2022,CMRIT,MECH,3A,1,57977,https://cmrit.ac.in/
2021,CMRIT,MECH,SC,3,78790,https://cmrit.ac.in/
2022,Vidya Vikas Institute,MECH,SC,2,116777,https://vvit.ac.in/
2024,RNSIT,ECE,3B,2,35458,https://rnsit.ac.in/
2021,NIE Mysore,CSE,3B,2,18442,https://nie.ac.in/
2024,Siddaganga Institute,ECE,3B,3,23863,https://sit.ac.in/
2024,Vidyavardhaka College,ISE,GM,3,67581,https://vvc.ac.in/
2024,BNMIT,CSE,3B,1,36534,https://bnmit.org/
2023,PES University,ISE,2A,3,3123,https://pes.edu/
2024,MS Engineering College,MECH,GM,3,112391,https://msengineering.edu.in/
2024,BNMIT,ISE,GM,3,34484,https://bnmit.org/
2024,RVCE,EEE,ST,1,888,https://www.rvce.edu.in
2021,Acharya Institute of Technology,ECE,3A,3,55524,https://acharya.ac.in/
2021,RVCE,ISE,SC,3,902,https://www.rvce.edu.in
2024,NIE Mysore,MECH,3B,2,22029,https://nie.ac.in/
2022,Sir MVIT,MECH,2B,3,49803,https://sir-mvit.ac.in/
2024,KLE Tech Hubli,MECH,2A,1,58425,https://kletech.ac.in/
2023,Vidya Jyothi Institute,ISE,1,1,88641,https://vji.ac.in/
2024,Canara Engineering College,MECH,ST,1,111587,https://canaraengineering.in/
2022,MSRIT,EEE,1,1,7859,https://www.msrit.edu/
2022,AMC Engineering College,CSE,3B,2,115964,https://amc.edu.in/
2021,T John Institute of Technology,ISE,ST,2,163718,https://tjohncollege.edu.in/
2021,MIT Manipal,MECH,2B,1,12240,https://manipal.edu/
2024,BNMIT,MECH,1,3,37542,https://bnmit.org/
2021,Presidency University,ECE,GM,3,81036,https://presidencyuniversity.in/
2022,KLE Tech Hubli,EEE,3A,3,67673,https://kletech.ac.in/
2023,Dayananda Sagar Academy,EEE,3A,2,128558,https://dsacademy.edu.in/
2021,BMSCE,ECE,1,1,4976,https://www.bmsce.ac.in/
2024,Canara Engineering College,ISE,3B,2,76365,https://canaraengineering.in/
2023,UVCE,ISE,ST,1,17062,https://uvce.ac.in/
2023,MVJ College of Engineering,MECH,2A,3,62752,https://mvjce.edu.in/
2022,PES University,CSE,3A,2,3147,https://pes.edu/
2021,Vemana Institute of Technology,CSE,ST,2,133562,https://vemanait.edu.in/
2023,KLE Tech Hubli,ECE,3B,1,66502,https://kletech.ac.in/
2022,JSSATE Bangalore,ISE,1,2,36517,https://jssateb.ac.in/
2021,PESIT RR,EEE,2B,2,37455,https://pes.edu/
2023,Acharya Institute of Technology,CSE,3A,2,49161,https://acharya.ac.in/
2023,PESIT RR,MECH,ST,1,53374,https://pes.edu/
2024,MSRIT,CSE,GM,2,6810,https://www.msrit.edu/
2022,Alliance University,EEE,3A,2,100469,https://alliance.edu.in/
2022,Adichunchanagiri Institute,ECE,1,3,100743,https://acoe.edu.in/
2022,Siddaganga Institute,ECE,3B,2,24842,https://sit.ac.in/
2023,Vidyavardhaka College,ECE,GM,1,65815,https://vvc.ac.in/
2021,Sri Siddhartha Institute,EEE,1,2,91344,https://ssit.edu.in/
2022,BMSCE,EEE,2A,1,5659,https://www.bmsce.ac.in/
2023,UVCE,MECH,1,3,13948,https://uvce.ac.in/
2024,BNMIT,CSE,GM,3,30510,https://bnmit.org/
2021,Presidency University,ECE,ST,3,134233,https://presidencyuniversity.in/
2022,KLE Tech Hubli,ISE,2B,3,62823,https://kletech.ac.in/
2021,Vidya Vikas Institute,ECE,3A,3,89707,https://vvit.ac.in/
2022,Sapthagiri College of Engineering,MECH,1,1,65931,https://sapthagiri.edu.in/
2021,BNMIT,EEE,3A,2,40356,https://bnmit.org/
2023,MS Engineering College,CSE,3A,3,113044,https://msengineering.edu.in/
2023,Sir MVIT,MECH,3A,1,48116,https://sir-mvit.ac.in/
2022,PESIT RR,ECE,3B,3,40939,https://pes.edu/
2024,BMSCE,EEE,GM,2,5640,https://www.bmsce.ac.in/
2021,BMSIT Bangalore,EEE,2A,1,27182,https://bmsit.ac.in/
2021,Acharya Institute of Technology,MECH,3A,1,53116,https://acharya.ac.in/
2023,Sir MVIT,CSE,1,2,36687,https://sir-mvit.ac.in/
2024,BMSIT Bangalore,ISE,1,3,27378,https://bmsit.ac.in/
2022,SJCE Mysore,MECH,1,2,16632,https://sjce.ac.in/
2022,KSIT,ISE,3A,2,64101,https://ksit.edu.in/
2021,KSIT,ISE,SC,2,77706,https://ksit.edu.in/
2022,JSS Science & Technology,ECE,3A,3,147009,https://jssstuniv.in/
2022,JSS Science & Technology,MECH,1,2,124110,https://jssstuniv.in/
2023,NIE Mysore,EEE,2B,1,19695,https://nie.ac.in/
2022,MVJ College of Engineering,ECE,3B,3,61241,https://mvjce.edu.in/
2021,East Point College of Engineering,CSE,3A,3,75141,https://epce.edu.in/
2023,CMRIT,ECE,3B,1,53487,https://cmrit.ac.in/
2024,MIT Manipal,ISE,2A,1,9358,https://manipal.edu/
2022,East Point College of Engineering,MECH,3A,2,86418,https://epce.edu.in/
2024,NIE Mysore,CSE,3A,2,18670,https://nie.ac.in/
2022,New Horizon College of Engineering,MECH,SC,1,63148,https://newhorizon.edu.in/
2024,Sri Venkateshwara College of Engineering,EEE,GM,3,91545,https://svce.edu.in/
2022,New Horizon College of Engineering,CSE,3A,1,41494,https://newhorizon.edu.in/
2023,Alliance University,MECH,GM,2,89222,https://alliance.edu.in/
2023,Vidya Vikas Institute,ECE,3B,1,80091,https://vvit.ac.in/
2021,RNSIT,EEE,SC,1,41980,https://rnsit.ac.in/
2021,East Point College of Engineering,CSE,ST,1,89266,https://epce.edu.in/
2021,Presidency University,EEE,3A,1,89982,https://presidencyuniversity.in/
2022,AMC Engineering College,CSE,ST,3,159028,https://amc.edu.in/
2024,PES University,ISE,3B,2,3603,https://pes.edu/
2023,Vidya Vikas Institute,ECE,3A,1,78474,https://vvit.ac.in/
2024,PESIT South,CSE,GM,3,41626,https://pes.edu/
2021,RNSIT,EEE,3B,1,36080,https://rnsit.ac.in/
2024,Siddaganga Institute,EEE,3B,1,22688,https://sit.ac.in/
2022,AMC Engineering College,ECE,1,3,113545,https://amc.edu.in/
2023,Vidyavardhaka College,ECE,2B,2,80583,https://vvc.ac.in/
2023,BMSIT Bangalore,ISE,2A,2,26787,https://bmsit.ac.in/
2021,NIE Mysore,MECH,GM,1,18027,https://nie.ac.in/
2024,BIT Bangalore,CSE,3A,1,22153,https://bit-bangalore.edu.in/
2021,NIE Mysore,ECE,3B,3,22693,https://nie.ac.in/
2021,Reva University,ECE,ST,2,83193,https://reva.edu.in/
2022,Don Bosco Institute of Technology,ECE,3B,3,126052,https://dbit.ac.in/
2022,Sri Venkateshwara College of Engineering,MECH,SC,1,127589,https://svce.edu.in/
2024,Oxford College of Engineering,EEE,ST,2,99293,https://oxford.edu.in/
2021,PES University,EEE,2A,3,3610,https://pes.edu/
2022,JSS Science & Technology,MECH,2B,3,150217,https://jssstuniv.in/
2024,Sri Venkateshwara College of Engineering,ISE,3B,2,96992,https://svce.edu.in/
2022,SJCE Mysore,ECE,3B,1,16450,https://sjce.ac.in/
2022,BIT Bangalore,EEE,3A,3,28456,https://bit-bangalore.edu.in/
2021,New Horizon College of Engineering,CSE,GM,2,36374,https://newhorizon.edu.in/
2021,Canara Engineering College,EEE,ST,3,117466,https://canaraengineering.in/
2024,CMRIT,EEE,ST,3,81231,https://cmrit.ac.in/
2023,Bangalore Institute of Technology North Campus,CSE,1,1,101848,https://bit.edu.in/
2023,T John Institute of Technology,ECE,1,1,100811,https://tjohncollege.edu.in/
2024,New Horizon College of Engineering,MECH,1,1,44557,https://newhorizon.edu.in/
2022,UVCE,MECH,ST,3,21495,https://uvce.ac.in/
2021,AIT Chikmagalur,ISE,GM,1,80584,https://aitchikmagalur.edu.in/
2023,KLE Tech Hubli,ISE,3B,2,65444,https://kletech.ac.in/
2023,BMSIT Bangalore,CSE,3A,3,28644,https://bmsit.ac.in/
2023,JSSATE Bangalore,ISE,SC,3,52101,https://jssateb.ac.in/
2021,MSRIT,CSE,ST,3,11052,https://www.msrit.edu/
2023,Alliance University,MECH,1,1,88147,https://alliance.edu.in/
2024,PESIT South,ISE,3A,1,44681,https://pes.edu/
2021,Vidya Vikas Institute,CSE,2B,1,70429,https://vvit.ac.in/
2023,Dayananda Sagar Academy,CSE,2B,1,97630,https://dsacademy.edu.in/
2024,Vidyavardhaka College,MECH,2B,3,87113,https://vvc.ac.in/
2024,Global Academy of Technology,CSE,2B,1,68533,https://gat.ac.in/
2021,Reva University,MECH,3A,1,64343,https://reva.edu.in/
2023,Sri Venkateshwara College of Engineering,ECE,1,1,85170,https://svce.edu.in/
2022,Vidya Vikas Institute,EEE,SC,1,105049,https://vvit.ac.in/
2023,Vidya Vikas Institute,MECH,2B,2,88602,https://vvit.ac.in/
2022,Presidency University,ECE,3A,3,97479,https://presidencyuniversity.in/
2023,AIT Chikmagalur,ISE,2B,1,93160,https://aitchikmagalur.edu.in/
2023,Siddaganga Institute,EEE,2B,2,23140,https://sit.ac.in/
2021,JSS Science & Technology,ISE,SC,3,172339,https://jssstuniv.in/
2023,East Point College of Engineering,ISE,2A,2,66848,https://epce.edu.in/
2024,KSSEM Bangalore,CSE,2A,2,75570,https://kssem.edu.in/
2022,Siddaganga Institute,MECH,3A,3,25832,https://sit.ac.in/
2024,MVJ College of Engineering,EEE,3A,1,60323,https://mvjce.edu.in/
2024,RVCE,ECE,ST,3,946,https://www.rvce.edu.in
2023,Presidency University,ISE,3B,1,83172,https://presidencyuniversity.in/
2024,Canara Engineering College,CSE,2B,3,74879,https://canaraengineering.in/
2022,CMR University School of Engineering,EEE,1,2,94542,https://cmr.edu.in/
2022,BMSCE,CSE,3B,2,5823,https://www.bmsce.ac.in/
2021,Vidyavardhaka College,ISE,SC,1,94162,https://vvc.ac.in/
2024,CMRIT,ISE,1,3,51008,https://cmrit.ac.in/
2021,MS Engineering College,ECE,2B,2,112973,https://msengineering.edu.in/
2021,Sir MVIT,MECH,SC,1,60550,https://sir-mvit.ac.in/
2023,BIT Bangalore,CSE,SC,3,31711,https://bit-bangalore.edu.in/
2024,Sri Siddhartha Institute,CSE,GM,1,73220,https://ssit.edu.in/
2023,CMRIT,EEE,1,2,49373,https://cmrit.ac.in/
2022,Canara Engineering College,MECH,3A,2,87199,https://canaraengineering.in/
2024,BMSCE,CSE,3B,3,6387,https://www.bmsce.ac.in/
2024,JSSATE Bangalore,ISE,GM,3,34963,https://jssateb.ac.in/
2023,Sir MVIT,EEE,3A,3,51685,https://sir-mvit.ac.in/
2023,East Point College of Engineering,CSE,GM,3,62694,https://epce.edu.in/
2021,CMR University School of Engineering,EEE,2A,3,102613,https://cmr.edu.in/
2023,Sapthagiri College of Engineering,CSE,1,1,55234,https://sapthagiri.edu.in/
2022,Reva University,EEE,3B,1,66160,https://reva.edu.in/
2023,CMRIT,EEE,2B,1,54957,https://cmrit.ac.in/
2021,MVJ College of Engineering,EEE,2B,2,57865,https://mvjce.edu.in/
2023,NIE Mysore,ISE,SC,2,24397,https://nie.ac.in/
2024,RVCE,ISE,1,3,588,https://www.rvce.edu.in
2021,Canara Engineering College,ISE,3A,1,74567,https://canaraengineering.in/
2021,Vemana Institute of Technology,CSE,3B,2,99050,https://vemanait.edu.in/
2024,SJCE Mysore,ECE,GM,1,13699,https://sjce.ac.in/
2024,JSSATE Bangalore,EEE,SC,3,59129,https://jssateb.ac.in/
2022,Bangalore Institute of Technology North Campus,ISE,ST,2,164674,https://bit.edu.in/
2024,AIT Chikmagalur,EEE,2A,2,109537,https://aitchikmagalur.edu.in/
2024,RNSIT,EEE,2A,3,34491,https://rnsit.ac.in/
2022,Acharya Institute of Technology,ISE,ST,2,65364,https://acharya.ac.in/
2021,Vidya Jyothi Institute,ISE,2A,2,104440,https://vji.ac.in/
2023,Canara Engineering College,MECH,ST,3,117080,https://canaraengineering.in/
2024,Sri Venkateshwara College of Engineering,ISE,2A,3,93396,https://svce.edu.in/
2021,KLE Tech Hubli,MECH,2A,3,65466,https://kletech.ac.in/
2024,BMSCE,ISE,3A,1,5418,https://www.bmsce.ac.in/
2021,Bangalore Institute of Technology North Campus,CSE,SC,1,146534,https://bit.edu.in/
2023,KSSEM Bangalore,ISE,3B,2,92953,https://kssem.edu.in/
2023,MIT Manipal,CSE,ST,2,14740,https://manipal.edu/
2022,T John Institute of Technology,MECH,3A,2,136505,https://tjohncollege.edu.in/
2021,PESIT South,ECE,GM,1,40990,https://pes.edu/
2023,MS Engineering College,MECH,2B,2,117793,https://msengineering.edu.in/
2023,PESIT RR,EEE,2B,2,35388,https://pes.edu/
2024,Sri Venkateshwara College of Engineering,ECE,3A,1,96640,https://svce.edu.in/
2023,PES University,CSE,GM,2,2594,https://pes.edu/
2021,MVJ College of Engineering,EEE,3B,2,62582,https://mvjce.edu.in/
2023,JSS Science & Technology,CSE,1,3,110749,https://jssstuniv.in/
2023,Sir MVIT,ECE,3B,3,50550,https://sir-mvit.ac.in/
2022,KLE Tech Hubli,EEE,SC,2,82485,https://kletech.ac.in/
2024,Sri Venkateshwara College of Engineering,MECH,ST,2,140731,https://svce.edu.in/
2022,Don Bosco Institute of Technology,ISE,ST,2,159258,https://dbit.ac.in/
2022,Alliance University,EEE,ST,2,130454,https://alliance.edu.in/
2023,MSRIT,MECH,ST,2,13283,https://www.msrit.edu/
2024,MIT Manipal,CSE,GM,2,8806,https://manipal.edu/
2024,BNMIT,CSE,SC,1,42502,https://bnmit.org/
2022,PESIT South,ECE,3B,1,50202,https://pes.edu/
2022,BMSIT Bangalore,EEE,1,3,29249,https://bmsit.ac.in/
2024,PESIT RR,MECH,1,2,34872,https://pes.edu/
2022,Vemana Institute of Technology,ECE,2A,1,97832,https://vemanait.edu.in/
2022,Alliance University,MECH,1,3,97011,https://alliance.edu.in/
2022,Vidya Vikas Institute,ECE,3B,3,95858,https://vvit.ac.in/
2022,PES University,ECE,3A,2,3522,https://pes.edu/
2021,KSSEM Bangalore,ECE,2B,3,93610,https://kssem.edu.in/
2024,Alliance University,ECE,SC,1,108373,https://alliance.edu.in/
2024,PESIT South,ISE,2A,2,45045,https://pes.edu/
2021,MSRIT,MECH,SC,1,11191,https://www.msrit.edu/
2022,New Horizon College of Engineering,ISE,GM,3,40913,https://newhorizon.edu.in/
2024,SJCE Mysore,CSE,2B,3,15059,https://sjce.ac.in/
2021,CMR University School of Engineering,EEE,GM,2,90824,https://cmr.edu.in/
2023,CMR University School of Engineering,MECH,2B,3,105077,https://cmr.edu.in/
2023,AIT Chikmagalur,ECE,SC,2,146183,https://aitchikmagalur.edu.in/
2021,JSSATE Bangalore,EEE,3B,3,47728,https://jssateb.ac.in/
2023,RNSIT,ECE,GM,2,29699,https://rnsit.ac.in/
2023,JSSATE Bangalore,CSE,GM,2,32839,https://jssateb.ac.in/
2024,Don Bosco Institute of Technology,ECE,SC,2,154290,https://dbit.ac.in/
2022,Alliance University,CSE,3A,2,84466,https://alliance.edu.in/
2024,Canara Engineering College,CSE,GM,3,61740,https://canaraengineering.in/
2024,Vemana Institute of Technology,EEE,1,3,107161,https://vemanait.edu.in/
2023,SJCE Mysore,EEE,ST,2,22983,https://sjce.ac.in/
2023,PESIT RR,EEE,2A,1,34889,https://pes.edu/
2021,JSSATE Bangalore,CSE,ST,2,53393,https://jssateb.ac.in/
2021,NIE Mysore,ECE,2B,2,20059,https://nie.ac.in/
2024,CMRIT,MECH,2A,2,57477,https://cmrit.ac.in/
2023,AMC Engineering College,ISE,ST,2,159408,https://amc.edu.in/
2022,T John Institute of Technology,CSE,2B,2,106449,https://tjohncollege.edu.in/
2024,East Point College of Engineering,ECE,ST,3,106454,https://epce.edu.in/
2024,SJCE Mysore,ISE,3A,2,16992,https://sjce.ac.in/
2023,BIT Bangalore,ECE,2B,1,22531,https://bit-bangalore.edu.in/
2021,Vidya Jyothi Institute,EEE,ST,3,173321,https://vji.ac.in/
2021,Sri Siddhartha Institute,CSE,GM,3,84489,https://ssit.edu.in/
2024,Bangalore Institute of Technology North Campus,ECE,1,2,114449,https://bit.edu.in/
2022,PESIT South,ISE,ST,3,70428,https://pes.edu/
